user_id,class
8fdb79dfdab19,0
ae01bb5893cf5,0
563df4fb75a3d,0
b21070f161c56,0
ee9775da22b94,0
afc2a4a5cc62d,0
11c6d6bcec90a,0
2dfeb479cda92,0
21351b685f77e,0
8604b1d2d0816,0
53db4cec75a80,0
f8f0393077af2,0
6e8a3f7f2a691,0
f6cf2aa962c2c,0
caa1b00abf7ba,0
bb44890a1f509,0
1afedebe30da1,0
b772b37775784,0
5964e047adc38,0
e5db0d7081ae7,0
f56ba3417ec75,0
89d577f9f2896,0
c987807c9522a,0
54a95ab73841a,0
0bd97c5e6634d,0
c6f13afbd4467,0
f6537a397d2f4,0
b080bd8082971,0
8a7c2b0d96d62,0
b89b0f58f8fc5,0
917fbf3b11985,0
1c707521104d1,0
e2a427abbedec,0
a387ebf7fe584,0
84486d5467fe0,0
a6f48b464e9da,0
0fd39a0f431f9,0
beb6add3b2816,0
a181954116550,0
4ffb2e0d1f5fe,0
45699c95ce054,0
1e1fc949ca4ad,0
e09ce63306bff,0
d5b878e3f01f4,0
31f74a8dfd1ef,0
bbb60301a5b04,0
ed4eceb5fb753,0
ff51403d6113b,0
15e1ea2d7d6c9,0
64e82574e57f7,0
fd38197de14cf,0
11ee36fd9153a,0
043dce2d40bd9,0
d638ed7f58d6b,0
a20a90d948e35,0
844656bcf973b,0
c1c0b987d0fc1,0
8d3c13d95cf81,0
b3d018250b180,0
0230e41b0b686,0
1af9bd9a1d127,0
6599b4728fcb7,0
5f87aa5eee75d,0
0f47724d945a0,0
13ce8eeb65460,0
e8cedf48c85d6,0
68559fc5eb9c3,0
d75b4caebcf89,0
568aa876acec7,0
d024e78d7b27e,0
f22dd354fa60b,0
7b1db7d9f2415,0
a2b1a5ef6971a,0
d9de4e838caff,0
9b1a3c481bacd,0
18010c3e0c417,0
f5bcc310c258e,0
5e55bd01b17ec,0
d027262ce18f3,0
0e39e690ef9ef,0
136c7fee3fed8,0
43f673f4f6c34,0
2cbbffd21de39,0
8ef1ba1830436,0
f835ca8d91a3f,0
54b25e7103d60,0
5df20da79d484,0
3fbddabb1a1ca,0
6e1b153ab2043,0
c25b031077d12,0
2ce5231ff8891,0
41d6cb9f15322,0
ed60cd140349e,0
1a0202e15db69,0
14e7d43faa33a,0
296d3ba62c65c,0
d61ed18f9d083,0
dfa64986ebe01,0
bce3a9d9ece72,0
c848bd6cdb7c6,0
cc898a7175395,0
664e5deb2f0bc,0
cad7dd8ccc578,0
40b4f08160a48,0
ea69494b5eafc,0
e0d968f0b0eff,0
01bd57eb9ee00,0
5e63658ffb50f,0
57ddcd711a52d,0
3982d1d2ad966,0
3c6a2b0f8ba92,0
3fcc6e2291d70,0
49c8d359c821e,0
8bc606fb16bca,0
8c66eb249b0f4,0
094f0b2e92132,0
a67bd1da8526a,0
32c6695f52b1a,0
d565ad67879ff,0
80f1c44009088,0
dffdb77acabb7,0
217b6150e6514,0
aabd754cf39e4,0
22b0dce18afbf,0
895e6942edd26,0
f4038579a880d,0
afea06e66b985,0
38f1f746a22b6,0
d8f716f46e0a4,0
aa897facc166f,0
feb1301a5c096,0
423125cc894d6,0
c0c67a8513376,0
615a233407c28,0
621ddaaddc9a3,0
1a29c8491f86b,0
e71df5ea5a3b6,0
64628b39f943e,0
9b6af11b77337,0
6de14bd69be22,0
daf1196662b2f,0
2292c7613563b,0
74fc8fd46d6f2,0
bc7bc5026e85b,0
9aee507b16c19,0
1c55b7c104511,0
318b47b1224b0,0
2166c3a5858d3,0
0a0ef6e69ee5d,0
444fb9ee21006,0
2373f212d1d62,0
6f45e64a11bb7,0
5cbd264e016bd,0
ce675b7ada4c0,0
b2b4489fbed3f,0
35db902c6e8a0,0
b0b93fec740fc,0
57305cb39b348,0
1b7a04b63f050,0
b3bfb8b7a45b9,0
c37ba5a085ed3,0
d4f381a478fbd,0
2e496eab39bb3,0
e564af7408939,0
e06f01e88e2db,0
82adf84ee3a13,0
cf6723d8db5e3,0
db9020949870a,0
a67a75100d0ac,0
5ce22330ec1cd,0
cdce201a0766b,0
7287427a33e8b,0
eb5d9f949064a,0
d3d2dbf1d9a95,0
b263131b20814,0
e101ab42a51c7,0
e4a1dd767527f,0
96b51c8445d3b,0
6cf525686c227,0
d482fbf44a868,0
912fe35496016,0
25e557651a59d,0
c97df77a3c333,0
f9c595fcf6bad,0
d9ec23ff08c41,0
c5653c7828a3b,0
84efdd53524f4,0
3d87656c36570,0
2a2f0a096c908,0
dda14d797c813,0
ecd21fa44a12b,0
a7609f705a7f3,0
2919bffa02caf,0
3f46d2597e97b,0
42d585efa2a0e,0
c35cf8d49016f,0
8fd71b7325a25,0
d7be111b4c94c,0
2953fc3e7a854,0
98880d25c684a,0
65eb4d9f63751,0
0d52d175fb935,0
f8e2b5586b2c8,0
924f56458dc0f,0
0956f784d5ff5,0
db46a223d21c4,0
9b7360e74f405,0
9e4bdf782426b,0
1fe9bbd13ea9f,0
a865a7d84781e,0
86cdcb887fc03,0
c6586ff3688a7,0
63d2d46fcd796,0
6e544717d3398,0
7888763771e81,0
e51e09a9d2084,0
5f0ea34f8b303,0
b7fca0108fe77,0
e3b1015507cc2,0
a6acbc6e810d5,0
2b8f1e39ce1d8,0
a3de364cc4e4a,0
8283e8068943f,0
93a721d6e4d24,0
09e5a77620b1e,0
3a8d9cb93a32d,0
f5435287d472d,0
4edfe99c0a1da,0
c10742b5ce454,0
709d5f24c3d6d,0
2e9a29d3eed8f,0
bbe08027e9a1e,0
3aaec7e91d503,0
ab392a1208a5e,0
d0b8c20c09c9f,0
b2d897764ab7f,0
10a707458682e,0
3d9cd89aa781a,0
f856df3d93028,0
3ec947930651d,0
596f2817361f8,0
babd288d316d2,0
1e1143c790878,0
49a4e64d34939,0
601ac3b147adc,0
167156f73b035,0
0bee29cd08fa4,0
7bc5e65046f3b,0
1a9ea942ebfa3,0
5f122bd295c35,0
91adc170025d0,0
cb69b375bedf1,0
86c91427cce56,0
533463949e3cf,0
d503cadf71017,0
0a25900c6bdac,0
52434cfb04ef6,0
8b6791b8f6e05,0
973f0445a7044,0
991429c1b96eb,0
3b582cd94610e,0
01262e124527d,0
acb8d7037fe10,0
3051134df9389,0
8f446c745c34a,0
2dc0cddd7927c,0
31801a552a6d1,0
4c4b868efb8bc,0
0814d83e94544,0
87ce03b7bf1bc,0
a15888fb4435d,0
55798083c5dd0,0
c501f13c5f0b2,0
1adea538edd66,0
f3fe445e2c64a,0
ae493691eafa3,0
0c358dd6f5df1,0
cb02b89d74205,0
5a9cd12788da9,0
a65df7d174c81,0
1c9f2e20432e4,0
94a7a46522fac,0
1e54bf8cbdb6d,0
fe4171570ebdf,0
4a3ec89038570,0
058289adb21fe,0
d1b9dfd044609,0
3c881c699c727,0
a3992cd9a8a8a,0
bbba48d568b91,0
8a9503e638be2,0
